ID,present,WC_alt,WC_bio1,WC_bio12,ER_tri,ER_thermicityIndex,lon,lat
29,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961728,46.878299
30,1,7,10.399999618530273,1979,19.350000381469727,218,-123.961651,46.205391
31,1,121,11.199999809265137,1233,22.940000534057617,195,-122.772115,44.665838
32,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961858,46.874284
33,1,42,16.5,227,3.509999990463257,313.75,-120.914304,37.006272
34,1,1937,9,375,64.80000305175781,90.5,-112.199867,36.070836
35,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961858,46.874284
36,1,51,10.5,1949,24.6299991607666,229,-124.062553,44.615263
37,1,899,20,302,30.56999969482422,394.75,-103.161313,29.315213
38,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961858,46.874284
39,1,42,16.5,227,3.509999990463257,313.75,-120.850341,37.074539
40,1,1234,9.699999809265137,1678,108.93000030517578,94.25,-83.223276,35.506558
41,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961728,46.878299
42,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.0414,41.32125
43,1,87,13,987,37.06999969482422,296,-122.833725,38.088237
44,1,19,15.399999618530273,437,5.840000152587891,302,-121.880807,38.179816
45,1,1938,3,460,30.950000762939453,-77,-110.750956,43.513546
46,1,138,9.899999618530273,2233,57.790000915527344,210,-123.959181,45.902976
47,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961728,46.878299
48,1,140,10.600000381469727,1200,29.350000381469727,177,-122.922263,45.642747
49,1,1168,5.900000095367432,399,97.19000244140625,-1.5,-113.961728,46.878299
50,1,1329,9.399999618530273,1724,106.2300033569336,84.75,-83.122653,35.553234
51,1,19,22.5,656,1.149999976158142,499,-97.894022,27.311976
52,1,454,14.5,621,61.09000015258789,306,-121.694755,37.253067
53,1,2346,9,511,62.619998931884766,97,-105.674399,33.336565
54,1,112,12.899999618530273,1013,44.439998626708984,293.5,-122.833732,38.065409
55,1,138,9.899999618530273,2233,57.790000915527344,210,-123.959181,45.902976
56,1,138,9.899999618530273,2233,57.790000915527344,210,-123.959181,45.902976
57,1,915,3.5,563,65.80000305175781,-84.5,-115.966303,50.489935
58,1,87,13,987,37.06999969482422,296,-122.894293,38.10469
59,1,148,9.5,2347,41.869998931884766,190,-123.824142,45.4145
60,1,1594,0.699999988079071,564,111.55999755859375,-170,-115.370341,51.115648
61,1,212,10.899999618530273,1646,79.19000244140625,238.5,-124.041931,41.321343
62,1,1878,4.199999809265137,307,58.459999084472656,-42.5,-112.527677,45.026913
63,1,1938,3,460,30.950000762939453,-77,-110.755125,43.508049
64,1,827,5.400000095367432,503,22.860000610351562,-19,-115.686199,49.691109
65,1,138,9.899999618530273,2233,57.790000915527344,210,-123.957038,45.8885
66,1,2344,9,525,39.93000030517578,100,-105.698862,33.181022
67,1,7,10.399999618530273,1979,19.350000381469727,218,-123.91785,46.17303
